Time (ms),Raw ECG
5488.00,753.51
5496.01,728.59
5504.01,676.88
5512.01,625.65
5520.00,591.88
5528.00,544.66
5536.01,504.27
5544.00,467.93
5552.00,427.32
5560.00,391.69
5568.00,356.68
5576.01,321.54
5584.01,289.24
5592.00,257.69
5600.00,227.31
5608.00,198.49
5616.00,170.16
5624.01,143.06
5632.01,116.45
5640.01,91.02
5648.00,66.95
5656.01,43.42
5664.00,21.11
5672.00,-0.28
5680.00,-20.77
5688.00,-40.24
5696.00,-58.88
5704.01,-76.69
5712.00,-93.55
5720.00,-109.59
5728.00,-124.77
5736.01,-139.27
5744.00,-152.78
5752.00,-165.70
5760.01,-177.89
5768.01,-189.23
5776.01,-199.98
5784.00,-209.98
5792.00,-219.42
5800.01,-228.03
5808.00,-236.08
5816.01,-243.52
5824.00,-250.42
5832.01,-256.58
5840.00,-262.28
5848.00,-267.42
5856.00,-272.02
5864.00,-276.09
5872.00,-279.69
5880.00,-282.75
5888.01,-285.38
5896.00,-287.47
5904.00,-289.19
5912.00,-290.53
5920.00,-291.34
5928.00,-291.91
5936.00,-291.88
5944.01,-291.88
5952.01,-291.75
5960.01,-291.09
5968.01,-289.13
5976.00,-287.09
5984.00,-285.78
5992.00,-283.75
6000.00,-280.88
6008.01,-278.03
6016.00,-275.00
6024.00,-271.66
6032.01,-267.91
6040.00,-264.13
6048.00,-260.06
6056.01,-256.09
6064.00,-251.47
6072.01,-247.06
6080.01,-242.34
6088.01,-237.25
6096.00,-232.28
6104.01,-227.22
6112.00,-221.78
6120.00,-216.53
6128.01,-210.91
6136.00,-205.25
6144.01,-199.56
6152.01,-193.78
6160.00,-187.81
6168.00,-181.94
6176.00,-175.97
6184.00,-169.78
6192.00,-163.78
6200.00,-157.69
6208.00,-152.27
6216.01,-146.11
6224.01,-138.83
6232.01,-132.20
6240.00,-126.89
6248.01,-120.86
6256.00,-113.84
6264.00,-107.30
6272.00,-101.28
6280.00,-95.70
6288.00,-89.78
6296.00,-82.91
6304.01,-76.39
6312.01,-70.67
6320.01,-65.17
6328.00,-59.34
6336.01,-53.06
6344.01,-46.64
6352.01,-41.20
6360.00,-35.81
6368.00,-29.78
6376.00,-24.31
6384.01,-18.95
6392.01,-13.42
6400.01,-8.12
6408.00,-2.91
6416.01,2.33
6424.01,7.22
6432.01,12.01
6440.00,16.95
6448.00,21.80
6456.01,26.41
6464.00,31.16
6472.00,35.56
6480.00,39.97
6488.00,44.03
6496.00,48.24
6504.00,52.20
6512.01,56.06
6520.00,59.94
6528.01,63.83
6536.01,67.24
6544.00,70.91
6552.01,74.09
6560.00,77.42
6568.00,80.63
6576.01,83.73
6584.01,86.48
6592.00,89.24
6600.00,92.02
6608.01,94.57
6616.00,97.00
6624.00,99.33
6632.01,101.79
6640.00,103.66
6648.00,105.92
6656.01,107.83
6664.00,109.50
6672.00,111.57
6680.00,113.28
6688.00,114.38
6696.00,115.28
6704.00,117.22
6712.00,119.03
6720.00,119.98
6728.00,120.73
6736.00,121.16
6744.00,121.33
6752.01,121.67
6760.00,123.09
6768.00,123.53
6776.00,123.34
6784.01,123.87
6792.00,125.05
6800.01,124.62
6808.00,123.75
6816.00,123.94
6824.00,124.69
6832.00,124.47
6840.00,123.67
6848.00,123.56
6856.00,122.98
6864.00,122.36
6872.01,121.52
6880.00,120.28
6888.00,120.08
6896.01,119.72
6904.00,118.12
6912.01,116.75
6920.01,115.34
6928.01,114.37
6936.01,114.25
6944.00,113.28
6952.01,111.17
6960.01,109.25
6968.00,107.80
6976.01,107.55
6984.01,106.23
6992.00,104.27
7000.00,102.77
7008.00,101.12
7016.00,99.44
7024.01,97.70
7032.00,95.97
7040.01,93.55
7048.01,92.00
7056.01,89.94
7064.00,87.62
7072.00,86.12
7080.00,84.87
7088.01,82.47
7096.01,80.95
7104.01,79.52
7112.01,77.05
7120.00,74.97
7128.01,73.02
7136.01,70.17
7144.00,68.22
7152.00,66.86
7160.01,64.52
7168.01,62.52
7176.00,61.03
7184.00,57.78
7192.01,55.80
7200.01,54.61
7208.00,51.75
7216.01,49.17
7224.00,47.61
7232.00,45.53
7240.01,43.22
7248.00,41.44
7256.01,39.41
7264.00,37.41
7272.00,35.28
7280.01,33.53
7288.00,31.56
7296.01,29.50
7304.00,27.44
7312.01,25.64
7320.00,23.62
7328.00,21.62
7336.00,19.66
7344.00,17.95
7352.01,16.16
7360.01,14.38
7368.00,12.38
7376.00,10.53
7384.00,8.58
7392.00,6.05
7400.00,4.30
7408.00,2.84
7416.00,1.14
7424.01,-0.39
7432.00,-1.88
7440.00,-3.48
7448.00,-4.92
7456.00,-6.34
7464.00,-7.97
7472.00,-9.31
7480.01,-10.62
7488.01,-12.15
7496.01,-13.40
7504.01,-14.73
7512.00,-16.16
7520.00,-17.18
7528.00,-18.29
7536.01,-19.75
7544.00,-20.79
7552.00,-21.92
7560.00,-23.01
7568.00,-24.20
7576.01,-25.21
7584.00,-26.21
7592.00,-27.04
7600.00,-27.95
7608.01,-29.21
7616.00,-30.69
7624.01,-31.73
7632.00,-31.36
7640.00,-31.86
7648.01,-33.07
7656.00,-33.49
7664.01,-34.26
7672.00,-34.87
7680.01,-35.56
7688.01,-36.10
7696.01,-36.60
7704.00,-37.20
7712.00,-37.64
7720.01,-38.17
7728.00,-38.67
7736.01,-39.00
7744.00,-39.56
7752.01,-40.46
7760.01,-40.44
7768.01,-40.89
7776.00,-41.56
7784.01,-41.57
7792.00,-41.30
7800.00,-42.13
7808.01,-41.92
7816.00,-41.82
7824.00,-42.06
7832.00,-41.78
7840.00,-40.84
7848.00,-40.65
7856.01,-41.07
7864.00,-40.95
7872.01,-40.93
7880.00,-40.76
7888.01,-40.82
7896.00,-40.60
7904.00,-40.48
7912.01,-40.48
7920.00,-40.31
7928.00,-40.00
7936.01,-39.80
7944.00,-39.57
7952.00,-39.32
7960.00,-39.06
7968.00,-38.77
7976.01,-38.47
7984.00,-37.89
7992.00,-37.68
8000.00,-37.57
8008.01,-38.07
8016.00,-37.67
8024.01,-53.11
8032.00,-236.61
8040.01,-697.50
8048.00,-1027.61
8056.01,-917.22
8064.01,-785.22
8072.00,-794.84
8080.00,-716.53
8088.00,-645.38
8096.00,-618.53
8104.01,-551.68
8112.00,-503.13
8120.00,-463.67
8128.00,-409.42
8136.00,-368.43
8144.01,-327.37
8152.00,-283.74
8160.01,-246.77
8168.01,-208.83
8176.00,-171.99
8184.01,-138.73
8192.01,-105.51
8200.00,-74.35
8208.00,-44.48
8216.00,-14.91
8224.00,12.24
8232.00,38.38
8240.00,63.36
8248.00,87.00
8256.00,109.22
8264.00,130.09
8272.01,150.08
8280.01,168.75
8288.00,186.11
8296.01,202.23
8304.00,218.31
8312.00,233.34
8320.01,246.44
8328.00,259.11
8336.00,270.77
8344.00,281.16
8352.00,291.58
8360.01,300.42
8368.00,308.22
8376.00,315.19
8384.00,322.66
8392.01,328.81
8400.01,333.66
8408.00,338.13
8416.01,341.91
8424.00,344.94
8432.00,347.44
8440.00,349.44
8448.01,350.31
8456.01,350.44
8464.00,350.78
8472.01,351.19
8480.00,349.72
8488.00,348.31
8496.01,347.59
8504.00,344.81
8512.01,341.59
8520.00,339.78
8528.00,335.78
8536.00,331.31
8544.00,327.84
8552.01,323.28
8560.00,318.56
8568.01,314.63
8576.01,309.03
8584.00,302.66
8592.00,297.16
8600.01,290.84
8608.01,283.97
8616.00,278.16
8624.00,272.16
8632.00,265.25
8640.01,257.75
8648.01,249.78
8656.00,242.53
8664.00,236.00
8672.00,228.31
8680.01,219.69
8688.01,212.19
8696.00,204.59
8704.00,196.47
8712.01,189.08
8720.00,180.88
8728.00,172.47
8736.01,164.61
8744.00,156.31
8752.00,148.13
8760.00,140.02
8768.00,131.77
8776.00,123.53
8784.01,115.48
8792.00,107.34
8800.01,99.28
8808.00,91.30
8816.00,83.22
8824.00,75.41
8832.00,69.75
8840.01,77.16
8848.01,95.10
8856.01,92.96
8864.00,76.81
8872.01,78.04
8880.00,79.23
8888.00,70.63
8896.01,67.70
8904.00,74.50
8912.01,102.24
8920.00,137.78
8928.00,162.46
8936.00,198.02
8944.00,230.34
8952.01,208.31
8960.01,147.50
8968.00,118.22
8976.01,130.45
8984.00,105.36
8992.00,56.21
9000.00,50.18
9008.01,15.63
9016.01,-65.65
9024.00,-114.01
9032.00,-121.38
9040.00,-91.98
9048.01,-44.28
9056.00,-27.32
9064.00,-39.67
9072.00,-37.63
9080.00,-11.84
9088.01,17.23
9096.00,15.75
9104.00,-12.28
9112.01,12.38
9120.00,-115.00
9128.01,-515.23
9136.01,-634.38
9144.01,-323.14
9152.01,-36.27
9160.01,-22.08
9168.00,-274.56
9176.00,-361.66
9184.01,-217.53
9192.00,-258.44
9200.01,-342.34
9208.00,-328.75
9216.01,-367.03
9224.01,-412.41
9232.00,-465.91
9240.00,-545.53
9248.00,-539.56
9256.01,-491.38
9264.00,-491.97
9272.01,-479.22
9280.00,-452.69
9288.01,-374.31
9296.00,-133.25
9304.00,122.16
9312.00,159.38
9320.00,6.59
9328.00,-29.75
9336.01,185.97
9344.00,299.16
9352.00,252.13
9360.01,331.34
9368.00,372.97
9376.00,273.81
9384.00,243.41
9392.00,228.09
9400.00,168.56
9408.00,144.47
9416.00,115.53
9424.00,75.41
9432.00,52.47
9440.01,22.84
9448.01,-6.38
9456.01,-28.97
9464.00,-54.69
9472.01,-94.56
9480.00,-222.50
9488.00,-478.81
9496.00,-722.16
9504.01,-811.13
9512.01,-795.41
9520.00,-755.75
9528.00,-675.94
9536.00,-578.63
9544.00,-515.72
9552.01,-468.88
9560.01,-483.34
9568.01,-567.28
9576.01,-578.31
9584.00,-538.66
9592.01,-574.00
9600.00,-608.00
9608.01,-569.69
9616.00,-524.78
9624.00,-502.72
9632.00,-498.41
9640.01,-485.50
9648.00,-396.16
9656.00,-311.78
9664.00,-432.47
9672.00,-607.97
9680.00,-539.13
9688.00,-241.84
9696.00,95.87
9704.01,58.53
9712.01,-289.06
9720.00,-310.03
9728.01,-203.00
9736.00,-278.66
9744.01,-242.09
9752.01,-185.56
9760.00,-230.22
9768.01,-222.25
9776.00,-200.22
9784.00,-210.09
9792.00,-218.34
9800.01,-213.39
9808.00,-188.53
9816.01,-180.27
9824.00,-176.88
9832.00,-144.05
9840.01,-116.75
9848.01,-99.06
9856.00,-72.62
9864.01,-51.11
9872.01,-31.54
9880.01,-9.45
9888.00,9.05
9896.00,27.05
9904.00,46.34
9912.01,63.60
9920.01,79.94
9928.00,95.92
9936.01,111.09
9944.01,125.48
9952.00,139.38
9960.01,152.50
9968.01,164.93
9976.01,176.62
9984.01,187.17
9992.00,198.05
10000.01,209.07
10008.00,218.69
10016.01,227.21
10024.01,235.50
10032.00,242.70
10040.00,249.78
10048.01,257.02
10056.01,263.25
10064.01,269.28
10072.01,275.41
10080.00,280.36
10088.00,284.22
10096.01,287.92
10104.01,291.66
10112.01,294.86
10120.01,297.45
10128.01,299.81
10136.01,302.00
10144.00,303.94
10152.00,304.92
10160.01,305.61
10168.01,306.25
10176.00,306.09
10184.00,305.50
10192.01,305.56
10200.01,305.28
10208.00,303.72
10216.01,302.47
10224.01,301.00
10232.01,298.69
10240.00,296.28
10248.00,294.34
10256.01,300.09
10264.00,352.41
10272.00,458.56
10280.01,505.63
10288.01,446.44
10296.01,387.00
10304.00,348.47
10312.01,290.19
10320.01,239.91
10328.00,208.22
10336.00,191.84
10344.00,192.44
10352.01,191.66
10360.00,192.16
10368.00,193.38
10376.01,180.94
10384.00,172.63
10392.00,175.63
10400.00,171.75
10408.00,177.69
10416.00,211.03
10424.01,228.63
10432.00,198.47
10440.00,165.75
10448.01,151.66
10456.00,131.44
10464.01,121.09
10472.01,125.00
10480.00,119.09
10488.01,112.94
10496.01,111.12
10504.01,105.37
10512.00,101.55
10520.00,98.30
10528.01,93.28
10536.00,89.84
10544.00,86.14
10552.01,81.16
10560.00,76.69
10568.01,72.86
10576.01,68.58
10584.01,64.53
10592.01,60.77
10600.01,56.03
10608.00,51.31
10616.00,47.55
10624.01,43.33
10632.01,50.80
10640.00,61.95
10648.00,37.17
10656.01,12.23
10664.00,98.52
10672.00,258.48
10680.00,203.19
10688.00,-44.75
10696.01,-73.36
10704.00,12.53
10712.00,-40.14
10720.00,-46.74
10728.01,-6.81
10736.00,6.10
10744.00,64.27
10752.01,106.22
10760.00,117.27
10768.00,162.80
10776.00,222.53
10784.00,252.46
10792.00,242.09
10800.00,206.95
10808.00,167.56
10816.01,132.56
10824.00,116.36
10832.00,118.25
10840.01,111.72
10848.01,102.42
10856.01,88.33
10864.00,58.81
10872.01,37.49
10880.01,20.15
10888.01,8.05
10896.01,-0.23
10904.01,-27.72
10912.01,-53.95
10920.01,-66.22
10928.00,-65.21
10936.01,-63.12
10944.00,-89.16
10952.01,-113.89
10960.00,-97.06
10968.00,-62.38
10976.00,-52.81
10984.01,-60.94
10992.00,-54.27
11000.00,-50.39
11008.01,-80.34
11016.00,-134.52
11024.00,-193.69
11032.01,-248.08
11040.00,-279.45
11048.00,-249.55
11056.01,-196.52
11064.00,-205.33
11072.00,-223.06
11080.00,-202.39
11088.01,-192.53
11096.01,-186.19
11104.00,-178.78
11112.01,-158.23
11120.01,-85.67
11128.01,-127.69
11136.01,-458.72
11144.01,-746.08
11152.01,-472.72
11160.01,149.03
11168.00,321.66
